z_over_zi,KM_noLC,KM_E6_1,KM_E6_4,note
0.00,0.0000,0.0000,0.0000,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.05,0.0250,0.0350,0.0700,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.10,0.0400,0.0550,0.1000,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.15,0.0500,0.0700,0.1300,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.20,0.0580,0.0820,0.1600,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.25,0.0650,0.0950,0.1850,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.30,0.0720,0.1050,0.2000,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.35,0.0780,0.1150,0.2100,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.40,0.0820,0.1220,0.2150,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.45,0.0850,0.1280,0.2180,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.50,0.0880,0.1330,0.2200,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.55,0.0900,0.1380,0.2200,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.60,0.0920,0.1420,0.2180,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.65,0.0950,0.1450,0.2150,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.70,0.0980,0.1480,0.2100,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.75,0.1000,0.1500,0.2000,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.80,0.1020,0.1480,0.1850,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.85,0.1000,0.1400,0.1600,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.90,0.0900,0.1200,0.1200,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-0.95,0.0600,0.0700,0.0600,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
-1.00,0.0000,0.0000,0.0000,digitized from Kantha & Clayson (2004) Fig.1 center panel; KM/(u_star*zi)
