y_over_H,nu_t_La0.2,nu_t_La0.3
0.000000,0.00197,0.00039
-0.003922,0.00283,0.00067
-0.007843,0.00354,0.00133
-0.011765,0.00368,0.00223
-0.015686,0.00109,0.00415
-0.019608,0.00139,0.00628
-0.023529,0.00177,0.00840
-0.027451,0.00256,0.01052
-0.031373,0.00339,0.01264
-0.035294,0.00443,0.01476
-0.039216,0.00531,0.01688
-0.043137,0.00621,0.01900
-0.047059,0.00715,0.02113
-0.050980,0.00808,0.02717
-0.054902,0.00903,0.02815
-0.058824,0.00997,0.02815
-0.062745,0.01083,0.02815
-0.066667,0.01161,0.02815
-0.070588,0.01260,0.02815
-0.074510,0.01346,0.03295
-0.078431,0.01432,0.03381
-0.082353,0.01519,0.03468
-0.086275,0.01605,0.03525
-0.090196,0.01692,0.03562
-0.094118,0.01778,0.03589
-0.098039,0.01850,0.03602
-0.101961,0.01931,0.03601
-0.105882,0.01998,0.03583
-0.109804,0.02064,0.03543
-0.113725,0.02131,0.03504
-0.117647,0.02205,0.03465
-0.121569,0.02264,0.03405
-0.125490,0.02323,0.03346
-0.129412,0.02378,0.03275
-0.133333,0.02441,0.03224
-0.137255,0.02480,0.03158
-0.141176,0.02520,0.03091
-0.145098,0.02566,0.03031
-0.149020,0.02613,0.02958
-0.152941,0.02621,0.02908
-0.156863,0.02618,0.02835
-0.160784,0.02641,0.02759
-0.164706,0.02842,0.02717
-0.168627,0.02880,0.02677
-0.172549,0.02874,0.02638
-0.176471,0.02854,0.02598
-0.180392,0.02874,0.02579
-0.184314,0.02884,0.02559
-0.188235,0.02913,0.02559
-0.192157,0.02913,0.02559
-0.196078,0.02953,0.02579
-0.200000,0.02953,0.02598
-0.203922,0.02953,0.02645
-0.207843,0.02972,0.02700
-0.211765,0.03012,0.02775
-0.215686,0.03092,0.02861
-0.219608,0.03159,0.02948
-0.223529,0.02812,0.03056
-0.227451,0.02785,0.03190
-0.231373,0.02815,0.03343
-0.235294,0.02950,0.03496
-0.239216,0.02953,0.03669
-0.243137,0.02953,0.03841
-0.247059,0.02953,0.04260
-0.250980,0.02953,0.04659
-0.254902,0.02928,0.04744
-0.258824,0.02913,0.04744
-0.262745,0.02913,0.04764
-0.266667,0.02913,0.04917
-0.270588,0.02913,0.05516
-0.274510,0.02874,0.05955
-0.278431,0.02874,0.06285
-0.282353,0.02874,0.06630
-0.286275,0.02874,0.06982
-0.290196,0.02874,0.07380
-0.294118,0.02835,0.07767
-0.298039,0.02835,0.08180
-0.301961,0.02835,0.08612
-0.305882,0.02835,0.09049
-0.309804,0.02808,0.09495
-0.313725,0.02795,0.09966
-0.317647,0.02795,0.10447
-0.321569,0.02795,0.10925
-0.325490,0.02795,0.11444
-0.329412,0.02795,0.11942
-0.333333,0.02795,0.12480
-0.337255,0.02795,0.13772
-0.341176,0.02835,0.13943
-0.345098,0.02835,0.14216
-0.349020,0.02874,0.14462
-0.352941,0.02874,0.14685
-0.356863,0.02874,0.14705
-0.360784,0.02913,0.16457
-0.364706,0.02953,0.17020
-0.368627,0.02972,0.17588
-0.372549,0.02992,0.18153
-0.376471,0.03031,0.18718
-0.380392,0.03084,0.19290
-0.384314,0.03150,0.19868
-0.388235,0.03189,0.20434
-0.392157,0.03228,0.20999
-0.396078,0.03307,0.21565
-0.400000,0.03378,0.23256
-0.403922,0.03445,0.23248
-0.407843,0.03511,0.23526
-0.411765,0.03598,0.23751
-0.415686,0.03687,0.24025
-0.419608,0.03781,0.24154
-0.423529,0.03875,0.25381
-0.427451,0.03969,0.26022
-0.431373,0.04069,0.26574
-0.435294,0.04411,0.27117
-0.439216,0.04469,0.27616
-0.443137,0.04469,0.28134
-0.447059,0.04463,0.28648
-0.450980,0.04469,0.29132
-0.454902,0.04629,0.29629
-0.458824,0.04969,0.30089
-0.462745,0.05111,0.30552
-0.466667,0.05264,0.31008
-0.470588,0.05417,0.31456
-0.474510,0.05590,0.31868
-0.478431,0.05743,0.32854
-0.482353,0.05915,0.33037
-0.486275,0.06088,0.33209
-0.490196,0.06281,0.33230
-0.494118,0.06473,0.33422
-0.498039,0.06666,0.33524
-0.501961,0.06852,0.34543
-0.505882,0.07050,0.34867
-0.509804,0.07263,0.35155
-0.513725,0.07472,0.35444
-0.517647,0.07672,0.35728
-0.521569,0.07872,0.36009
-0.525490,0.08092,0.36261
-0.529412,0.08343,0.36501
-0.533333,0.08587,0.36724
-0.537255,0.08807,0.36917
-0.541176,0.09050,0.37109
-0.545098,0.09270,0.37282
-0.549020,0.09522,0.37441
-0.552941,0.09748,0.37588
-0.556863,0.09985,0.37702
