z_over_zi,KM_shear,KM_langmuir_La0.3,note
0.00,0.0000,0.0000,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.05,0.0200,0.0400,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.10,0.0350,0.0700,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.15,0.0450,0.0950,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.20,0.0550,0.1200,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.25,0.0650,0.1400,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.30,0.0720,0.1550,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.35,0.0780,0.1650,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.40,0.0800,0.1700,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.45,0.0780,0.1680,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.50,0.0720,0.1550,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.55,0.0620,0.1350,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.60,0.0500,0.1100,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.70,0.0300,0.0700,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.80,0.0150,0.0350,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-0.90,0.0050,0.0120,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-1.00,0.0000,0.0000,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-1.20,0.0000,0.0000,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
-1.40,0.0000,0.0000,digitized from McWilliams et al. (1997) Fig.3b; KM/(U_star*zi)
